Step	BrLen0	BrLen1	BrLen2	BrLen3	BrLen4	BrLen5	BrLen6	BrLen7	BrLen8	BrLen9	GC.theta	T92.theta_1	T92.theta_2	T92.theta_3	T92.theta_4	T92.theta_5	T92.theta_6	T92.theta_7	T92.theta_8	T92.theta_9	T92.theta_10	T92.kappa_1	Gamma.alpha	Function	Time
23	0.0992143	0.201034	0.243982	0.112015	0.188885	0.272807	0.199127	0.0772404	0.0853884	0.0501262	0.465461	0.837772	0.820137	0.879572	0.424788	0.877795	0.401558	0.71018	0.818773	0.452522	0.887722	3.05682	0.917014	5296.418364	1.000000
24	0.0993263	0.201129	0.244303	0.111295	0.188823	0.272965	0.199032	0.0767973	0.0856803	0.0489249	0.464762	0.838111	0.820265	0.879812	0.426685	0.879894	0.400953	0.70989	0.81678	0.446905	0.884342	3.05654	0.917899	5296.400225	1.000000
25	0.099263	0.201047	0.244166	0.111618	0.187874	0.272781	0.199058	0.0770373	0.0855599	0.0492897	0.464921	0.837917	0.820187	0.879553	0.42465	0.880201	0.401117	0.710039	0.817709	0.44932	0.888152	3.0561	0.91784	5296.392063	2.000000
26	0.0993132	0.201064	0.244342	0.111199	0.186989	0.272774	0.198987	0.0768182	0.0857474	0.048475	0.46439	0.838066	0.820239	0.879556	0.424815	0.882533	0.400676	0.709881	0.816523	0.446055	0.88781	3.05551	0.918678	5296.386399	2.000000
27	0.0992481	0.200982	0.244188	0.111557	0.186098	0.272589	0.199015	0.0770718	0.0856151	0.0489172	0.464597	0.837865	0.820158	0.879304	0.422783	0.882697	0.400886	0.710035	0.81754	0.448721	0.891675	3.05508	0.918573	5296.378822	2.000000
28	0.0993078	0.201013	0.24437	0.111112	0.185371	0.272619	0.198949	0.0768255	0.0858174	0.0481069	0.464061	0.838037	0.82022	0.879361	0.42328	0.884863	0.400433	0.709853	0.816264	0.445226	0.890798	3.05454	0.919372	5296.375953	2.000000
29	0.099237	0.200927	0.244196	0.111509	0.18451	0.272429	0.198985	0.0771012	0.0856648	0.0486147	0.464309	0.837816	0.820132	0.879105	0.421202	0.884883	0.400677	0.710021	0.817394	0.448186	0.89472	3.05417	0.919203	5296.368572	2.000000
30	0.0993043	0.200969	0.244386	0.111035	0.183935	0.272486	0.198921	0.0768274	0.0858792	0.0477941	0.463767	0.838006	0.820202	0.879206	0.42201	0.88693	0.400209	0.709819	0.816022	0.44445	0.893336	3.05373	0.919982	5296.368158	2.000000
31	0.0992281	0.20088	0.244193	0.111478	0.18309	0.272289	0.198964	0.0771272	0.0857062	0.0483667	0.464056	0.837766	0.820107	0.878941	0.419846	0.886809	0.40049	0.710003	0.817274	0.447721	0.897355	3.0534	0.91975	5296.360639	2.000000
32	0.0992655	0.200906	0.244293	0.111223	0.182874	0.272331	0.198931	0.0769757	0.085821	0.0479454	0.46378	0.837872	0.820147	0.879011	0.420399	0.887789	0.400247	0.709892	0.816534	0.445718	0.896422	3.05322	0.920136	5296.356839	2.000000
33	0.0992205	0.200838	0.244181	0.111462	0.181819	0.272165	0.198948	0.0771527	0.0857427	0.0481721	0.463834	0.837716	0.820084	0.878804	0.41869	0.8885	0.400326	0.709984	0.817152	0.447365	0.899424	3.05276	0.92023	5296.354458	2.000000
34	0.0992605	0.200868	0.244284	0.111191	0.181673	0.272218	0.198912	0.076989	0.0858643	0.0477545	0.463563	0.837832	0.820127	0.878888	0.419374	0.889448	0.400084	0.709865	0.816376	0.445267	0.898342	3.0526	0.920621	5296.350950	2.000000
35	0.0992156	0.200803	0.244167	0.111452	0.180683	0.272059	0.198933	0.077173	0.0857767	0.0480233	0.463641	0.837675	0.820064	0.878691	0.417694	0.890003	0.400185	0.709964	0.817046	0.447037	0.901208	3.05218	0.920655	5296.349637	2.000000
36	0.099257	0.200836	0.244272	0.111165	0.180596	0.272122	0.198896	0.0769992	0.0859032	0.047602	0.463369	0.837796	0.820109	0.878787	0.418495	0.890924	0.399937	0.709839	0.816236	0.444848	0.899972	3.05206	0.921045	5296.346298	2.000000
37	0.0992112	0.200771	0.244149	0.111447	0.179662	0.271965	0.198921	0.0771911	0.085805	0.0479096	0.463471	0.837634	0.820045	0.878596	0.41683	0.891342	0.40006	0.709946	0.816959	0.446753	0.902729	3.05167	0.921028	5296.345883	2.000000
38	0.0992545	0.200807	0.244258	0.111144	0.179628	0.272038	0.198883	0.0770069	0.0859374	0.0474815	0.463197	0.837762	0.820093	0.878702	0.417737	0.892241	0.399806	0.709815	0.816112	0.444466	0.901347	3.05158	0.921419	5296.342614	3.000000
39	0.099231	0.200775	0.244194	0.111296	0.179185	0.27196	0.198898	0.0771071	0.0858833	0.0476534	0.463259	0.837679	0.82006	0.878609	0.416906	0.892389	0.399878	0.709873	0.8165	0.445487	0.902685	3.05141	0.921388	5296.341015	3.000000
40	0.0992525	0.200782	0.244242	0.11113	0.178757	0.271963	0.198872	0.0770136	0.0859677	0.0473913	0.463045	0.837731	0.820078	0.87863	0.417087	0.893416	0.39969	0.709793	0.815995	0.444139	0.902422	3.05118	0.921752	5296.339743	3.000000
41	0.0992279	0.20075	0.244174	0.111293	0.178335	0.271886	0.198887	0.0771191	0.0859087	0.0475872	0.463122	0.837645	0.820045	0.878536	0.416246	0.893508	0.399776	0.709855	0.816416	0.445244	0.903763	3.05101	0.921701	5296.338271	3.000000
42	0.0992517	0.200761	0.244228	0.111116	0.177972	0.2719	0.198862	0.0770171	0.0859966	0.0473276	0.462909	0.837705	0.820066	0.878571	0.416528	0.894472	0.399588	0.709772	0.815888	0.443828	0.903316	3.05081	0.922049	5296.337474	3.000000
43	0.0992254	0.200728	0.244155	0.111291	0.177566	0.271821	0.198879	0.0771295	0.0859311	0.0475454	0.463	0.837614	0.820031	0.878475	0.415668	0.894511	0.399685	0.70984	0.816346	0.445025	0.904665	3.05066	0.921975	5296.336074	3.000000
44	0.0992513	0.200743	0.244214	0.111104	0.177263	0.271844	0.198853	0.0770189	0.0860222	0.047285	0.462788	0.837681	0.820055	0.87852	0.416045	0.895424	0.399495	0.709753	0.815791	0.443537	0.904044	3.0505	0.922314	5296.335684	3.000000
45	0.0992234	0.200708	0.244137	0.111292	0.176868	0.271763	0.198872	0.0771386	0.0859504	0.0475243	0.462891	0.837586	0.820018	0.878422	0.415158	0.895412	0.399604	0.709826	0.816286	0.444831	0.905412	3.05035	0.922217	5296.334310	3.000000
46	0.0992512	0.200726	0.2442	0.111092	0.176621	0.271795	0.198845	0.0770191	0.0860455	0.0472604	0.46268	0.837661	0.820046	0.878478	0.415627	0.896284	0.39941	0.709735	0.815703	0.443267	0.904625	3.05022	0.922549	5296.334279	3.000000
Step	BrLen0	BrLen1	BrLen2	BrLen3	BrLen5	BrLen6	BrLen7	BrLen8	BrLenRoot	RootPosition	GC.theta	T92.theta_1	T92.theta_2	T92.theta_3	T92.theta_4	T92.theta_5	T92.theta_6	T92.theta_7	T92.theta_8	T92.theta_9	T92.theta_10	T92.kappa_1	Gamma.alpha	Function	Time
0	0.1	0.2	0.3	0.1	0.3	0.2	0.05	0.1	0.3	0.666667	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	3	1.00346	5500.348371	0.000000
1	0.0975899	0.19758	0.309453	0.10917	0.29495	0.215313	0.0629215	0.0887075	0.310746	0.333333	0.529447	0.749999	0.694012	0.749999	0.49711	0.721592	0.419734	0.575428	0.743913	0.58199	0.497905	2.68009	1.03111	5337.173357	0.000000
2	0.101751	0.204279	0.309869	0.104449	0.284257	0.218806	0.0679372	0.0796835	0.319483	0.556804	0.532396	0.874999	0.802916	0.874999	0.503246	0.860795	0.399891	0.624345	0.759745	0.567552	0.488534	2.74843	0.996777	5310.547805	0.000000
3	0.0933385	0.204231	0.263487	0.109639	0.284742	0.222166	0.0749032	0.0834519	0.294358	0.440058	0.511662	0.856218	0.81058	0.860778	0.442661	0.839332	0.400608	0.657905	0.799929	0.591935	0.546297	2.83479	0.906429	5302.601448	0.000000
4	0.0937199	0.204583	0.261671	0.106806	0.281714	0.216224	0.0725431	0.0810394	0.306845	0.527511	0.504716	0.853677	0.816617	0.866512	0.468214	0.899018	0.40073	0.668036	0.789095	0.546663	0.53588	2.93186	0.915008	5300.979482	0.000000
5	0.094985	0.205289	0.259161	0.114229	0.280967	0.214431	0.0758908	0.0827516	0.282126	0.454153	0.493078	0.849971	0.819095	0.86744	0.417544	0.883389	0.404841	0.680013	0.805915	0.554099	0.581484	2.97415	0.902205	5299.355893	1.000000
6	0.0952927	0.204362	0.256241	0.107647	0.280581	0.210556	0.0746394	0.083	0.291581	0.512238	0.490544	0.848765	0.820164	0.869428	0.44451	0.917247	0.404156	0.684429	0.800222	0.520172	0.579159	3.02186	0.906559	5298.665918	1.000000
7	0.0965557	0.204658	0.255694	0.113142	0.279763	0.209353	0.0768277	0.083996	0.273952	0.466208	0.483316	0.84705	0.820993	0.870502	0.411565	0.90637	0.406981	0.691602	0.810651	0.525757	0.614646	3.02935	0.898447	5297.929611	1.000000
8	0.0967768	0.203865	0.253965	0.107896	0.279484	0.206789	0.0757533	0.0844309	0.279776	0.504567	0.48194	0.846234	0.821246	0.871828	0.432443	0.92512	0.405778	0.693933	0.806471	0.500478	0.613825	3.05712	0.902606	5297.539904	1.000000
9	0.0976114	0.203949	0.253752	0.111607	0.278655	0.205995	0.077179	0.0848311	0.268408	0.478179	0.477526	0.845069	0.821566	0.872637	0.412496	0.918351	0.407238	0.698399	0.813159	0.504176	0.638853	3.05481	0.89829	5297.209314	1.000000
10	0.0977477	0.203388	0.252639	0.108292	0.278347	0.204331	0.0764307	0.0851908	0.27121	0.502716	0.476601	0.844428	0.821599	0.873555	0.426464	0.928936	0.406046	0.699827	0.810529	0.48714	0.639885	3.07093	0.901614	5297.009818	1.000000
